#{"t_start": 1740659830.023298, "env_id": "None"}
r,l,t
-32074656.996169,840,200.316912
-32774537.979323,840,200.550646
-32524323.861463,840,200.78379
-32267423.952698,840,201.017895
-32248086.063641,840,201.251536
-32614775.061433,840,201.485005
-32693825.938677,840,201.718049
-32703226.788906,840,201.951048
-32240419.288063,840,202.185352
-32635985.63754,840,202.419335
-32547929.67675,840,202.65189
-31852139.142668,840,202.884941
-32191089.348889,840,203.117942
-32763728.408509,840,203.351941
-32661468.393692,840,203.585941
-32788739.089099,840,203.819935
-32157731.30699,840,204.053487
-32087224.315732,840,204.286729
-32977259.967369,840,204.51999
-32639098.906821,840,204.753066
-32142034.373347,840,204.985852
-32483495.520876,840,205.220852
-31952162.357344,840,205.454852
-31924551.285999,840,205.68811
-32355869.509766,840,205.921525
-32411573.198151,840,206.15608
-32122129.769201,840,206.388443
-32689051.052108,840,206.6222
-32432159.3133,840,206.855839
-32512953.400789,840,207.090059
-32443494.974625,840,207.324034
-32305474.246736,840,207.556991
-31771285.857798,840,207.791491
-31834438.282667,840,208.02511
-32484390.132019,840,208.258176
-32214339.881615,840,208.492134
-32681837.960002,840,208.726611
-32264688.092674,840,208.959929
-32371246.960986,840,209.194496
-32174695.845973,840,209.428468
-32424797.90494,840,209.664079
-31949146.818485,840,209.897977
-31959836.661893,840,210.131976
-32320608.681809,840,210.365976
-32462157.328005,840,210.599977
-32285154.257318,840,210.833976
-32443378.517048,840,211.067256
-32192898.961035,840,211.302057
-32519227.418932,840,211.536844
-31696125.694193,840,211.770895
-32447689.815497,840,212.004885
-31600529.757527,840,212.23788
-32792395.904361,840,212.471527
-31812999.602878,840,212.705252
-32138770.608666,840,212.938757
-32766966.529398,840,213.171418
-32318948.436958,840,213.404788
-32733106.513585,840,213.639053
-32231669.80055,840,213.872338
-32493649.344671,840,214.10523
-32403625.556569,840,214.339164
-32417429.929714,840,214.573164
-32193238.964553,840,214.817089
-32395675.531664,840,215.049608
-32793536.166793,840,215.288843
-32271973.381094,840,215.531215
-32175247.627184,840,215.770507
-32535351.333557,840,216.009446
-32205759.29853,840,216.25083
-32315155.066304,840,216.486617
-32058069.909644,840,216.724395
-32396129.103302,840,216.958457
-32631801.873745,840,217.194303
-32507960.14655,840,217.428164
-31895611.224848,840,217.667011
-32312866.391476,840,217.899907
-32965364.557916,840,218.135051
-32644184.485165,840,218.36884
-32341505.148631,840,218.602037
-32292621.918849,840,218.835036
-32033931.842025,840,219.06904
-32371831.378346,840,219.303265
-31672006.447218,840,219.536521
-32040713.281902,840,219.769047
-32581442.700392,840,220.00259
-32109009.060493,840,220.23698
-32710613.448338,840,220.469845
-32492326.621691,840,220.703626
-31774179.262133,840,220.937023
-32526453.494848,840,221.170802
-32564193.453074,840,221.404272
-32020510.689836,840,221.638099
-32185392.281718,840,221.872192
-32490909.154158,840,222.105061
-32495973.792393,840,222.339146
-32631246.65934,840,222.573067
-32167984.803237,840,222.807174
-32510428.411513,840,223.040322
-32418783.202605,840,223.275024
-32727567.232397,840,223.50894
-32180821.299565,840,223.742291
-32414627.197648,840,223.976871
-32328834.656255,840,224.210042
-32168711.692602,840,224.444043
-32188490.987848,840,224.678316
-32656536.864456,840,224.911702
-33035396.872362,840,225.144846
-32258274.949713,840,225.379339
-32480780.07268,840,225.613338
-32321983.372979,840,225.84622
-31756095.815825,840,226.078394
-32418474.515214,840,226.312277
-32142450.276984,840,226.545888
-32450467.102998,840,226.782838
-32272499.195947,840,227.015909
-32117554.379899,840,227.251408
-32160786.116676,840,227.484426
-32357605.976089,840,227.71786
-32474793.256537,840,227.951715
-31971706.900229,840,228.184654
-32602963.595776,840,228.419006
-32525398.102306,840,228.652452
-32201944.891697,840,228.885717
-32291190.110891,840,229.118931
-32021387.557612,840,229.352344
-32087654.789228,840,229.585261
-32482547.918064,840,229.818699
-32608098.265189,840,230.055688
-32175874.987246,840,230.30519
-32707481.276159,840,230.550439
-32296261.590272,840,230.78474
-32479155.643731,840,231.019002
-31763854.049633,840,231.253656
-32740439.498762,840,231.486717
-32155402.159495,840,231.72095
-32153006.812065,840,231.954977
-33026946.043324,840,232.189235
-32346232.25128,840,232.422852
-32111676.594984,840,232.657486
-32501193.442595,840,232.890943
-32181681.405389,840,233.129416
-31698251.657319,840,233.366441
-32310260.865136,840,233.60043
-32581621.060657,840,233.834989
-32063384.71062,840,234.068987
-32231029.828908,840,234.302147
-32075746.988878,840,234.536197
-32036722.338585,840,234.771488
-33259964.169153,840,235.004443
-32045492.727467,840,235.239927
-31762809.335216,840,235.473854
-31878483.849997,840,235.707298
-32787669.147575,840,235.941031
-32726784.452998,840,236.174428
-32339410.975511,840,236.407113
-32176276.21018,840,236.640616
-32473216.78891,840,236.873856
-32284626.97158,840,237.107448
-32280689.423135,840,237.341502
-32263946.992494,840,237.57558
-32007087.273435,840,237.810049
-32478873.555393,840,238.042883
-31956244.716256,840,238.276884
-32651731.225019,840,238.509837
-31956425.298425,840,238.744387
-32427592.369898,840,238.977799
