#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-286891.272457,15,16.527164
-286009.312777,15,16.548163
-293765.283774,15,16.566746
-291361.34989,15,16.586734
-274708.309897,15,16.612056
-287547.286688,15,16.638054
-283179.965204,15,16.660322
-292694.342016,15,16.683323
-21622.026942,15,16.706322
-288082.754261,15,16.738774
-299396.538448,15,16.774965
-258854.502615,15,16.801386
-290731.23149,15,16.828526
-291198.264104,15,16.849821
-203374.780413,15,16.869818
-285084.186316,15,16.889958
-295894.597029,15,16.911053
-295498.6624,15,16.93696
-287216.884969,15,16.955965
-278105.185043,15,16.978959
-285062.153765,15,16.998962
-280781.972481,15,17.017962
-287459.993017,15,17.038101
-295439.438478,15,17.061103
-296193.500661,15,17.086102
-298505.679003,15,17.108101
-289741.814073,15,17.126099
-290297.01594,15,17.154101
-286126.475202,15,17.176099
-296559.910675,15,17.201237
-289383.218024,15,17.222099
-287275.667364,15,17.241099
-301935.494158,15,17.263242
-265149.077502,15,17.28224
-290682.565649,15,17.30024
-228021.921822,15,17.317242
-283619.852411,15,17.335242
-284837.617599,15,17.354246
-178543.761245,15,17.37624
-281730.652374,15,17.39524
-290200.227549,15,17.41524
-287727.046459,15,17.434242
-297547.472105,15,17.456825
-294825.946126,15,17.486823
-286787.22848,15,17.510826
-289589.640644,15,17.532881
-292710.31188,15,17.552882
-299153.143636,15,17.572103
-290614.154642,15,17.597214
-281844.47944,15,17.618212
-290681.258123,15,17.638212
-182028.313378,15,17.658352
-288223.331907,15,17.68049
-291599.739486,15,17.707617
-283274.724126,15,17.729779
-286229.70783,15,17.751016
-299759.738338,15,17.7729
-295028.88838,15,17.798167
-294434.278216,15,17.819294
-292138.155183,15,17.842298
-166751.859849,15,17.865293
-282190.915287,15,17.8854
-289924.297498,15,17.907654
-221801.956098,15,17.928785
-299614.00287,15,17.952152
-299750.989056,15,17.972284
-286108.474081,15,17.994544
-291422.614606,15,18.020973
-294795.90779,15,18.043091
-280874.344431,15,18.068373
-286865.678111,15,18.086625
-80826.483989,15,18.109745
-261203.429645,15,18.133118
-300877.431834,15,18.152195
-295831.128371,15,18.172616
-293839.724327,15,18.195626
-289367.704515,15,18.213809
