#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-3413.9625,15,3.972692
-4100.6625,15,3.979697
-4690.2475,15,3.986693
-4690.2475,15,3.993692
-4787.3625,15,4.000921
-4100.6625,15,4.007234
-5376.9475,15,4.014232
-3170.0625,15,4.021489
-3413.9625,15,4.02849
-3413.9625,15,4.03549
-3413.9625,15,4.042773
-3170.0625,15,4.049773
-4690.2475,15,4.056773
-4100.6625,15,4.062924
-4690.2475,15,4.069917
-4100.6625,15,4.077202
-3413.9625,15,4.084209
-5376.9475,15,4.091209
-3413.9625,15,4.098482
-3413.9625,15,4.105482
-4100.6625,15,4.112482
-4787.3625,15,4.119485
-3413.9625,15,4.126483
-4100.6625,15,4.133482
-4100.6625,15,4.140751
-3413.9625,15,4.148018
-4787.3625,15,4.155018
-4612.8475,15,4.161296
-4100.6625,15,4.168511
-3413.9625,15,4.176511
-4690.2475,15,4.18451
-4100.6625,15,4.191517
-3413.9625,15,4.198511
-3413.9625,15,4.20551
-4100.6625,15,4.21251
-4787.3625,15,4.219514
-3413.9625,15,4.22651
-4100.6625,15,4.23351
-3413.9625,15,4.24051
-5376.9475,15,4.247686
-3413.9625,15,4.25451
-4690.2475,15,4.26251
-4100.6625,15,4.269505
-4690.2475,15,4.275511
-4690.2475,15,4.28251
-3413.9625,15,4.289753
-4690.2475,15,4.296752
-5376.9475,15,4.303753
-3413.9625,15,4.311053
-4690.2475,15,4.318053
-4100.6625,15,4.325052
-3413.9625,15,4.332052
-4787.3625,15,4.339053
-4100.6625,15,4.346052
-4100.6625,15,4.353322
-3413.9625,15,4.359322
-3413.9625,15,4.366322
-4690.2475,15,4.373628
-4612.8475,15,4.380629
-4690.2475,15,4.38763
-4100.6625,15,4.394628
-3413.9625,15,4.401621
-3413.9625,15,4.40863
-3413.9625,15,4.415629
-4100.6625,15,4.422629
-4690.2475,15,4.429628
-3413.9625,15,4.436884
-4690.2475,15,4.443628
-3413.9625,15,4.450629
-3413.9625,15,4.457629
-4612.8475,15,4.464628
-4100.6625,15,4.471628
-4787.3625,15,4.478629
-4787.3625,15,4.48564
-3413.9625,15,4.491903
-4100.6625,15,4.500143
-3413.9625,15,4.507304
-6063.6475,15,4.514302
-4100.6625,15,4.521445
-4100.6625,15,4.528444
-3413.9625,15,4.535447
-3413.9625,15,4.542444
-5299.5475,15,4.549445
-3413.9625,15,4.55653
-4787.3625,15,4.562693
-3413.9625,15,4.569981
-4100.6625,15,4.576981
-4100.6625,15,4.58398
-4100.6625,15,4.591267
-4787.3625,15,4.597559
-3413.9625,15,4.605559
-4787.3625,15,4.611869
-3413.9625,15,4.619161
-4787.3625,15,4.62616
-4100.6625,15,4.633162
-3413.9625,15,4.640161
-3413.9625,15,4.647432
-4100.6625,15,4.65444
-4690.2475,15,4.660722
-4787.3625,15,4.66798
-4100.6625,15,4.674987
-4100.6625,15,4.681988
-4100.6625,15,4.689225
-3413.9625,15,4.696324
-3413.9625,15,4.702512
-3413.9625,15,4.709798
-5299.5475,15,4.717099
-4100.6625,15,4.724099
-4100.6625,15,4.731099
-4100.6625,15,4.7381
-4100.6625,15,4.745099
-4100.6625,15,4.752296
-5376.9475,15,4.759462
-5133.0475,15,4.766635
-3413.9625,15,4.773644
-3413.9625,15,4.780643
-4787.3625,15,4.787786
-4787.3625,15,4.794785
-4100.6625,15,4.801059
-4690.2475,15,4.808278
-3413.9625,15,4.815272
-5889.1325,15,4.822525
-3413.9625,15,4.829525
-3413.9625,15,4.836518
-4100.6625,15,4.843779
-3413.9625,15,4.851064
-3413.9625,15,4.857351
-4787.3625,15,4.864357
-4690.2475,15,4.872625
-4612.8475,15,4.879625
-4100.6625,15,4.88777
-4100.6625,15,4.89477
-4787.3625,15,4.902768
-3413.9625,15,4.909936
-5299.5475,15,4.916936
-4787.3625,15,4.924936
-5376.9475,15,4.931928
